Entity,Code,Year,Overweight or Obese (NCDRisC (2017)),Daily calorie supply per person,Population (historical),World regions according to OWID,time,time,time,time
Iran,IRN,2019,56.5,2934.608,87051649,Asia,2019,2023,2014,2014
Iraq,IRQ,2019,53.7,2222.8774,41192172,Asia,2019,2023,2014,2014
Ireland,IRL,2019,67,3673.258,4933493,Europe,2019,2023,2014,2014
Israel,ISR,2019,68.4,3669.0227,8657466,Asia,2019,2023,2014,2014
Italy,ITA,2019,65.7,3514.61,60130136,Europe,2019,2023,2014,2014
Jamaica,JAM,2019,48.3,2791.3416,2823275,North America,2019,2023,2014,2014
Japan,JPN,2019,28.8,2700.4211,126699421,Asia,2019,2023,2014,2014
Jordan,JOR,2019,62.5,2786.761,10671893,Asia,2019,2023,2014,2014
Kazakhstan,KAZ,2019,59.9,3131.1938,19209556,Asia,2019,2023,2014,2014
Kenya,KEN,2019,17.1,2230.3345,51202829,Africa,2019,2023,2014,2014
Kiribati,KIR,2019,69,3067.652,123928,Oceania,2019,2023,2014,2014
Kuwait,KWT,2019,72.7,3553.3577,4442201,Asia,2019,2023,2014,2014
Kyrgyzstan,KGZ,2019,45.2,2679.0217,6494036,Asia,2019,2023,2014,2014
Laos,LAO,2019,14.5,3121.6724,7237635,Asia,2019,2023,2014,2014
Latvia,LVA,2019,63.3,3232.7861,1914267,Europe,2019,2023,2014,2014
Lebanon,LBN,2019,64.3,2932.5132,5794601,Asia,2019,2023,2014,2014
Lesotho,LSO,2019,18.9,2211.2478,2209414,Africa,2019,2023,2014,2014
Liberia,LBR,2019,17.4,2110.374,5043719,Africa,2019,2023,2014,2014
Libya,LBY,2019,61.9,2942.4792,6951040,Africa,2019,2023,2014,2014
Lithuania,LTU,2019,63.7,3401.1353,2795057,Europe,2019,2023,2014,2014
Luxembourg,LUX,2019,67.3,3414.19,620167,Europe,2019,2023,2014,2014
Madagascar,MDG,2019,14.4,2045.7927,28219559,Africa,2019,2023,2014,2014
Malawi,MWI,2019,11.6,2557.389,19025748,Africa,2019,2023,2014,2014
Malaysia,MYS,2019,37.5,2833.239,33440590,Asia,2019,2023,2014,2014
